#--------------------------------------------------
#			   Chain A
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
4.665	1.257	64.650	24.190	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
4.665	1.257	64.650	24.190	 ContactExposed
5.359	0.728	55.727	11.412	 NonContact
3.106	0.951	33.438	6.990	 NonContactBuried
6.448	0.976	78.819	301.145	 NonContactExposed
5.167	0.629	65.045	32.740	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain B
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
8.657	2.641	48.957	14.109	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
8.619	2.664	48.640	14.067	 ContactExposed
10.142	1.420	56.554	8.444	 NonContact
6.149	1.905	46.169	10.563	 NonContactBuried
12.313	1.927	56.916	10.437	 NonContactExposed
9.790	1.250	55.160	7.189	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain C
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
10.718	1.911	160.490	234.005	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
11.006	1.965	154.749	179.655	 ContactExposed
9.320	1.168	169.312	580.175	 NonContact
5.694	2.139	160.144	185.689	 NonContactBuried
10.133	1.347	168.106	244.624	 NonContactExposed
9.770	1.003	159.970	109.218	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain D
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
3.388	1.158	51.570	39.279	 Contact
3.724	4.439	47.816	69.098	 ContactBuried
3.424	1.185	49.205	17.085	 ContactExposed
3.524	0.975	56.880	20.633	 NonContact
3.234	2.018	67.811	99.920	 NonContactBuried
3.628	1.101	50.969	16.035	 NonContactExposed
3.434	0.742	56.923	20.926	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain E
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
2.548	1.016	54.623	33.795	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
2.548	1.016	54.623	33.795	 ContactExposed
2.861	0.814	57.625	42.496	 NonContact
0.168	0.169	43.752	26.775	 NonContactBuried
3.724	1.071	56.804	86.026	 NonContactExposed
2.728	0.643	59.962	35.318	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain F
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
6.410	2.705	18.523	8.090	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
6.410	2.705	18.523	8.090	 ContactExposed
4.486	1.624	29.131	9.977	 NonContact
0.000	0.000	20.327	20.096	 NonContactBuried
5.301	1.924	29.226	10.736	 NonContactExposed
5.071	1.410	24.555	6.567	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain G
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
8.450	2.959	101.660	185.127	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
8.450	2.959	101.660	185.127	 ContactExposed
16.480	4.816	208.588	103.337	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
16.480	4.816	208.588	103.337	 NonContactExposed
11.668	2.626	121.126	110.648	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain H
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
1.767	1.725	31.613	20.959	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
1.767	1.725	31.613	20.959	 ContactExposed
7.812	3.012	59.634	51.533	 NonContact
0.000	0.000	35.654	38.809	 NonContactBuried
8.267	3.192	61.162	255.917	 NonContactExposed
5.928	2.218	53.601	50.769	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain I
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
5.104	1.934	31.784	137.942	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
5.104	1.934	31.784	137.942	 ContactExposed
8.501	6.064	9.598	8.197	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
8.501	6.064	9.598	8.197	 NonContactExposed
5.376	1.828	24.501	14.812	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain J
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
13.890	4.700	111.816	121.030	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
13.890	4.700	111.816	121.030	 ContactExposed
14.884	6.516	103.327	485.285	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
14.884	6.516	103.327	485.285	 NonContactExposed
13.930	3.746	136.360	532.333	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain K
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
8.440	4.964	58.916	67.952	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
8.440	4.964	58.916	67.952	 ContactExposed
8.954	5.960	89.086	115.994	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
8.954	5.960	89.086	115.994	 NonContactExposed
8.759	3.933	74.639	84.524	 Total
#--------------------------------------------------


