#--------------------------------------------------
#			   Chain Q
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
15.895	6.218	446.457	206.533	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
15.895	6.218	446.457	206.533	 ContactExposed
10.609	2.305	191.237	271.914	 NonContact
21.269	34.497	89.544	112.552	 NonContactBuried
10.683	2.349	368.553	169.452	 NonContactExposed
11.441	2.184	290.802	178.723	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain R
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
0.000	0.000	0.000	0.000	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
0.000	0.000	0.000	0.000	 ContactExposed
9.117	4.230	60.710	20.642	 NonContact
6.640	6.666	63.681	35.966	 NonContactBuried
9.839	5.016	61.804	24.968	 NonContactExposed
9.117	4.230	60.710	20.642	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain S
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
24.504	11.672	70.429	38.395	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
25.363	12.036	70.002	38.125	 ContactExposed
2.239	2.150	56.063	24.076	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
2.326	2.235	56.305	24.503	 NonContactExposed
9.117	4.230	60.710	20.642	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain T
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
14.575	6.930	1082.663	538.827	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
14.575	6.930	1082.663	538.827	 ContactExposed
11.758	3.548	151.443	148.495	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
11.758	3.548	151.443	148.495	 NonContactExposed
12.317	3.155	183.906	293.137	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain U
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
0.000	0.000	0.000	0.000	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
0.000	0.000	0.000	0.000	 ContactExposed
12.593	3.919	152.795	76.713	 NonContact
0.000	0.000	3670.763	969.801	 NonContactBuried
15.199	4.738	133.016	70.253	 NonContactExposed
12.199	3.793	155.145	96.961	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain V
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
0.000	0.000	0.000	0.000	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
0.000	0.000	0.000	0.000	 ContactExposed
15.712	4.252	41.916	15.336	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
15.712	4.252	41.916	15.336	 NonContactExposed
15.456	4.164	39.405	14.112	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain W
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
10.014	8.746	251.912	105.850	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
10.014	8.746	251.912	105.850	 ContactExposed
13.697	3.690	193.070	78.327	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
13.697	3.690	193.070	78.327	 NonContactExposed
13.340	3.509	93.172	74.366	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain X
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
9.781	7.284	9.380	9.106	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
9.781	7.284	9.380	9.106	 ContactExposed
9.394	3.474	26.136	11.741	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
9.394	3.474	26.136	11.741	 NonContactExposed
9.394	3.236	24.567	10.790	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain Y
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
4.482	2.943	32.473	14.752	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
4.482	2.943	32.473	14.752	 ContactExposed
23.428	9.491	49.026	36.692	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
23.428	9.491	49.026	36.692	 NonContactExposed
10.601	3.690	40.054	15.063	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain Z
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
11.509	7.469	48.160	80.653	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
11.509	7.469	48.160	80.653	 ContactExposed
27.071	9.468	218.353	176.623	 NonContact
0.000	0.000	0.000	0.000	 NonContactBuried
27.071	9.468	218.353	176.623	 NonContactExposed
21.379	6.622	119.796	481.820	 Total
#--------------------------------------------------


