#--------------------------------------------------
#			   Chain A
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
11.390	2.415	197.222	146.791	 Contact
3.423	5.826	88.058	161.284	 ContactBuried
11.680	2.482	193.745	207.982	 ContactExposed
3.125	0.654	269.597	161.877	 NonContact
2.104	0.835	290.565	476.200	 NonContactBuried
3.802	0.927	275.122	190.154	 NonContactExposed
4.962	0.738	228.693	104.479	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain B
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
20.260	6.826	177.103	315.237	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
20.260	6.826	177.103	315.237	 ContactExposed
12.305	3.536	179.622	2552.272	 NonContact
6.017	6.849	1005.709	300.346	 NonContactBuried
13.102	3.825	161.670	257.046	 NonContactExposed
14.750	3.236	173.320	130.033	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain C
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
13.030	3.074	351.369	486.315	 Contact
11.359	12.077	317.645	291.288	 ContactBuried
13.209	3.142	348.317	496.309	 ContactExposed
11.818	2.138	227.133	201.620	 NonContact
2.518	1.578	296.405	569.383	 NonContactBuried
15.093	2.830	205.498	208.748	 NonContactExposed
12.121	1.745	272.650	1102.270	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain D
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
13.868	4.531	569.737	335.267	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
13.868	4.531	569.737	335.267	 ContactExposed
10.725	2.507	163.090	139.835	 NonContact
21.269	34.497	89.544	112.552	 NonContactBuried
10.821	2.564	241.159	87.360	 NonContactExposed
11.441	2.184	290.802	178.723	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain E
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
39.372	28.858	47.681	60.435	 Contact
0.000	0.000	0.000	0.000	 ContactBuried
39.372	28.858	47.681	60.435	 ContactExposed
6.727	3.827	61.640	21.331	 NonContact
6.759	6.786	66.709	37.673	 NonContactBuried
6.881	4.507	58.782	24.541	 NonContactExposed
9.117	4.230	60.710	20.642	 Total
#--------------------------------------------------


#--------------------------------------------------
#			   Chain F
#--------------------------------------------------
#kdN	dNSE	kdS	dSSE	     Category
#---	----	---	----	-------------------
